num_digits,most_common_response,correct_response,was_correct,percent_most_common_response,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
1,29.3,29.3,1.0,98.0,29.3,29.3,29.3,25.7,29.3,29.3,24.5,29.3,29.3,29.3
2,2861.5,2861.5,1.0,95.0,2863.5,2863.5,2861.5,2863.1,2861.5,2861.5,2860.3,2861.5,2861.5,2863.1
3,272933.5,272983.5,0.6,76.0,272913.5,273163.5,272863.5,272903.5,273003.5,273083.5,273013.5,272973.5,272828.5,273003.5
4,42366116.7,42338936.7,0.0,11.0,42366816.7,42362061.7,42356391.7,42338638.7,119241439.7,42337356.7,95914076.7,36412949.2,42344286.7,42339071.7
5,2850976878.8,3262204914.8,0.0,10.0,2850976878.8,2840532916.8,3262493470.8,2118730378.8,2343576582.8,3265685422.8,2300723364.8,3263716642.8,3263155626.0,2657527050.8
